filename, language, JavaScript, Vue, comment, blank, total
d:\vscode\angular\time-logging\src\App.vue, Vue, 0, 7, 0, 3, 10
d:\vscode\angular\time-logging\src\components\Home.vue, Vue, 0, 89, 0, 4, 93
d:\vscode\angular\time-logging\src\components\task\task-management.vue, Vue, 0, 139, 0, 1, 140
d:\vscode\angular\time-logging\src\components\task\task-personal.vue, Vue, 0, 148, 0, 4, 152
d:\vscode\angular\time-logging\src\components\timerecord\timerecord.vue, Vue, 0, 166, 0, 7, 173
d:\vscode\angular\time-logging\src\components\timerecord\tredit.vue, Vue, 0, 12, 0, 1, 13
d:\vscode\angular\time-logging\src\components\timerecord\trshow.vue, Vue, 0, 60, 3, 2, 65
d:\vscode\angular\time-logging\src\main.js, JavaScript, 15, 0, 0, 3, 18
d:\vscode\angular\time-logging\src\router\index.js, JavaScript, 39, 0, 0, 4, 43
d:\vscode\angular\time-logging\src\store\index.js, JavaScript, 13, 0, 0, 3, 16
Total, -, 67, 621, 3, 32, 723
